date,ticker,descr,close,retx
2020-03-18,SP500,S&P 500 Index,2398.1,-0.05183082
2020-03-19,SP500,S&P 500 Index,2409.39,0.004707894000000001
2020-03-20,SP500,S&P 500 Index,2304.92,-0.04335952
2020-03-23,SP500,S&P 500 Index,2237.4,-0.02929386
2020-03-24,SP500,S&P 500 Index,2447.33,0.09382766000000001
2020-03-25,SP500,S&P 500 Index,2475.56,0.01153502
2020-03-26,SP500,S&P 500 Index,2630.07,0.06241416
2020-03-27,SP500,S&P 500 Index,2541.47,-0.03368732
2020-03-30,SP500,S&P 500 Index,2626.65,0.03351603
2020-03-31,SP500,S&P 500 Index,2584.59,-0.01601279
2020-04-01,SP500,S&P 500 Index,2470.5,-0.0441424
2020-04-02,SP500,S&P 500 Index,2526.9,0.02282939
2020-04-03,SP500,S&P 500 Index,2488.65,-0.01513712
2020-04-06,SP500,S&P 500 Index,2663.68,0.07033131000000001
2020-04-07,SP500,S&P 500 Index,2659.41,-0.001603045
2020-04-08,SP500,S&P 500 Index,2749.98,0.03405643
2020-04-09,SP500,S&P 500 Index,2789.82,0.01448738
2020-04-13,SP500,S&P 500 Index,2761.63,-0.01010459
2020-04-14,SP500,S&P 500 Index,2846.06,0.03057252
2020-04-15,SP500,S&P 500 Index,2783.36,-0.02203046
2020-04-16,SP500,S&P 500 Index,2799.55,0.005816711
2020-04-17,SP500,S&P 500 Index,2874.56,0.02679359
2020-04-20,SP500,S&P 500 Index,2823.16,-0.017881
2020-04-21,SP500,S&P 500 Index,2736.56,-0.03067485
2020-04-22,SP500,S&P 500 Index,2799.31,0.02293025
2020-04-23,SP500,S&P 500 Index,2797.8,-0.0005394187
2020-04-24,SP500,S&P 500 Index,2836.74,0.01391808
2020-04-27,SP500,S&P 500 Index,2878.48,0.01471407
2020-04-28,SP500,S&P 500 Index,2863.39,-0.005242350000000001
2020-04-29,SP500,S&P 500 Index,2939.51,0.02658387
2020-04-30,SP500,S&P 500 Index,2912.43,-0.009212419000000001
2020-05-01,SP500,S&P 500 Index,2830.71,-0.02805904
2020-05-04,SP500,S&P 500 Index,2842.74,0.004249817
2020-05-05,SP500,S&P 500 Index,2868.44,0.009040574000000001
2020-05-06,SP500,S&P 500 Index,2848.42,-0.006979404000000001
2020-05-07,SP500,S&P 500 Index,2881.19,0.01150462
2020-05-08,SP500,S&P 500 Index,2929.8,0.0168715
2020-05-11,SP500,S&P 500 Index,2930.32,0.0001774865
2020-05-12,SP500,S&P 500 Index,2870.12,-0.02054383
2020-05-13,SP500,S&P 500 Index,2820.0,-0.01746268
2020-05-14,SP500,S&P 500 Index,2852.5,0.01152482
2020-05-15,SP500,S&P 500 Index,2863.7,0.003926381
2020-05-18,SP500,S&P 500 Index,2953.91,0.0315012
2020-05-19,SP500,S&P 500 Index,2922.94,-0.01048441
2020-05-20,SP500,S&P 500 Index,2971.61,0.01665104
2020-05-21,SP500,S&P 500 Index,2948.51,-0.007773564
2020-05-22,SP500,S&P 500 Index,2955.45,0.002353731
2020-05-26,SP500,S&P 500 Index,2991.77,0.01228916
2020-05-27,SP500,S&P 500 Index,3036.13,0.01482734
2020-05-28,SP500,S&P 500 Index,3029.73,-0.002107947
2020-05-29,SP500,S&P 500 Index,3044.31,0.00481231
2020-06-01,SP500,S&P 500 Index,3055.73,0.00375126
2020-06-02,SP500,S&P 500 Index,3080.82,0.008210804
2020-06-03,SP500,S&P 500 Index,3122.87,0.01364896
2020-06-04,SP500,S&P 500 Index,3112.35,-0.003368696
2020-06-05,SP500,S&P 500 Index,3193.93,0.02621171
2020-06-08,SP500,S&P 500 Index,3232.39,0.01204159
2020-06-09,SP500,S&P 500 Index,3207.18,-0.007799183
2020-06-10,SP500,S&P 500 Index,3190.14,-0.005313079
2020-06-11,SP500,S&P 500 Index,3002.1,-0.05894412
2020-06-12,SP500,S&P 500 Index,3041.31,0.01306086
2020-06-15,SP500,S&P 500 Index,3066.59,0.008312208
2020-06-16,SP500,S&P 500 Index,3124.74,0.01896243
2020-06-17,SP500,S&P 500 Index,3113.49,-0.0036003
2020-06-18,SP500,S&P 500 Index,3115.34,0.0005941885
2020-06-19,SP500,S&P 500 Index,3097.74,-0.005649464000000001
2020-06-22,SP500,S&P 500 Index,3117.86,0.006495058000000001
2020-06-23,SP500,S&P 500 Index,3131.29,0.004307441
2020-06-24,SP500,S&P 500 Index,3050.33,-0.02585516
2020-06-25,SP500,S&P 500 Index,3083.76,0.01095947
2020-06-26,SP500,S&P 500 Index,3009.05,-0.02422692
2020-06-29,SP500,S&P 500 Index,3053.24,0.0146857
2020-06-30,SP500,S&P 500 Index,3100.29,0.01540986
2020-07-01,SP500,S&P 500 Index,3115.86,0.005022111
2020-07-02,SP500,S&P 500 Index,3130.01,0.004541283
2020-07-06,SP500,S&P 500 Index,3179.72,0.01588174
2020-07-07,SP500,S&P 500 Index,3145.32,-0.01081856
2020-07-08,SP500,S&P 500 Index,3169.94,0.007827503000000001
2020-07-09,SP500,S&P 500 Index,3152.05,-0.00564364
2020-07-10,SP500,S&P 500 Index,3185.04,0.0104662
2020-07-13,SP500,S&P 500 Index,3155.22,-0.009362520000000001
2020-07-14,SP500,S&P 500 Index,3197.52,0.01340635
2020-07-15,SP500,S&P 500 Index,3226.56,0.009082039
2020-07-16,SP500,S&P 500 Index,3215.57,-0.003406104
2020-07-17,SP500,S&P 500 Index,3224.73,0.00284864
2020-07-20,SP500,S&P 500 Index,3251.84,0.008406905000000001
2020-07-21,SP500,S&P 500 Index,3257.3,0.001679049
2020-07-22,SP500,S&P 500 Index,3276.02,0.005747091
2020-07-23,SP500,S&P 500 Index,3235.66,-0.01231983
2020-07-24,SP500,S&P 500 Index,3215.63,-0.006190391000000001
2020-07-27,SP500,S&P 500 Index,3239.41,0.007395129
2020-07-28,SP500,S&P 500 Index,3218.44,-0.006473401
2020-07-29,SP500,S&P 500 Index,3258.44,0.01242838
2020-07-30,SP500,S&P 500 Index,3246.22,-0.003750261
2020-07-31,SP500,S&P 500 Index,3271.12,0.00767046
2020-08-03,SP500,S&P 500 Index,3294.61,0.007181027
2020-08-04,SP500,S&P 500 Index,3306.51,0.00361196
2020-08-05,SP500,S&P 500 Index,3327.77,0.006429740000000001
2020-08-06,SP500,S&P 500 Index,3349.16,0.006427728000000001
2020-08-07,SP500,S&P 500 Index,3351.28,0.0006329945000000001
2020-08-10,SP500,S&P 500 Index,3360.47,0.002742236
2020-08-11,SP500,S&P 500 Index,3333.69,-0.007969123
2020-08-12,SP500,S&P 500 Index,3380.35,0.0139965
2020-08-13,SP500,S&P 500 Index,3373.43,-0.002047125
2020-08-14,SP500,S&P 500 Index,3372.85,-0.0001719318
2020-08-17,SP500,S&P 500 Index,3381.99,0.002709874
2020-08-18,SP500,S&P 500 Index,3389.78,0.002303377
2020-08-19,SP500,S&P 500 Index,3374.85,-0.004404416
2020-08-20,SP500,S&P 500 Index,3385.51,0.003158659
2020-08-21,SP500,S&P 500 Index,3397.16,0.003441136
2020-08-24,SP500,S&P 500 Index,3431.28,0.01004368
2020-08-25,SP500,S&P 500 Index,3443.62,0.003596326
2020-08-26,SP500,S&P 500 Index,3478.73,0.01019567
2020-08-27,SP500,S&P 500 Index,3484.55,0.001673024
2020-08-28,SP500,S&P 500 Index,3508.01,0.006732577
2020-08-31,SP500,S&P 500 Index,3500.31,-0.002194977
2020-09-01,SP500,S&P 500 Index,3526.65,0.007525048
2020-09-02,SP500,S&P 500 Index,3580.84,0.01536586
2020-09-03,SP500,S&P 500 Index,3455.06,-0.03512584
2020-09-04,SP500,S&P 500 Index,3426.96,-0.008132999
2020-09-08,SP500,S&P 500 Index,3331.84,-0.02775638
2020-09-09,SP500,S&P 500 Index,3398.96,0.02014503
2020-09-10,SP500,S&P 500 Index,3339.19,-0.01758479
2020-09-11,SP500,S&P 500 Index,3340.97,0.0005330634
2020-09-14,SP500,S&P 500 Index,3383.54,0.01274181
2020-09-15,SP500,S&P 500 Index,3401.2,0.005219385
2020-09-16,SP500,S&P 500 Index,3385.49,-0.004618958
2020-09-17,SP500,S&P 500 Index,3357.01,-0.008412371
2020-09-18,SP500,S&P 500 Index,3319.47,-0.01118257
2020-09-21,SP500,S&P 500 Index,3281.06,-0.01157112
2020-09-22,SP500,S&P 500 Index,3315.57,0.01051794
2020-09-23,SP500,S&P 500 Index,3236.92,-0.02372141
2020-09-24,SP500,S&P 500 Index,3246.59,0.002987408
2020-09-25,SP500,S&P 500 Index,3298.46,0.01597676
2020-09-28,SP500,S&P 500 Index,3351.6,0.01611055
2020-09-29,SP500,S&P 500 Index,3335.47,-0.004812627
2020-09-30,SP500,S&P 500 Index,3363.0,0.008253709
2020-10-01,SP500,S&P 500 Index,3380.8,0.005292893
2020-10-02,SP500,S&P 500 Index,3348.44,-0.009571699000000001
2020-10-05,SP500,S&P 500 Index,3408.63,0.01797554
2020-10-06,SP500,S&P 500 Index,3360.95,-0.01398802
2020-10-07,SP500,S&P 500 Index,3419.45,0.01740579
2020-10-08,SP500,S&P 500 Index,3446.83,0.008007135
2020-10-09,SP500,S&P 500 Index,3477.13,0.008790686
2020-10-12,SP500,S&P 500 Index,3534.22,0.01641871
2020-10-13,SP500,S&P 500 Index,3511.93,-0.006306908000000001
2020-10-14,SP500,S&P 500 Index,3488.67,-0.006623139
2020-10-15,SP500,S&P 500 Index,3483.34,-0.001527803
2020-10-16,SP500,S&P 500 Index,3483.81,0.000134928
2020-10-19,SP500,S&P 500 Index,3426.92,-0.01632982
2020-10-20,SP500,S&P 500 Index,3443.12,0.004727277
2020-10-21,SP500,S&P 500 Index,3435.56,-0.002195683
2020-10-22,SP500,S&P 500 Index,3453.49,0.005218945
2020-10-23,SP500,S&P 500 Index,3465.39,0.00344579
2020-10-26,SP500,S&P 500 Index,3400.97,-0.01858954
2020-10-27,SP500,S&P 500 Index,3390.68,-0.003025607
2020-10-28,SP500,S&P 500 Index,3271.03,-0.03528791
2020-10-29,SP500,S&P 500 Index,3310.11,0.01194731
2020-10-30,SP500,S&P 500 Index,3269.96,-0.01212951
2020-11-02,SP500,S&P 500 Index,3310.24,0.01231819
2020-11-03,SP500,S&P 500 Index,3369.16,0.01779931
2020-11-04,SP500,S&P 500 Index,3443.44,0.02204704
2020-11-05,SP500,S&P 500 Index,3510.45,0.01946019
2020-11-06,SP500,S&P 500 Index,3509.44,-0.0002877124
2020-11-09,SP500,S&P 500 Index,3550.5,0.01169987
2020-11-10,SP500,S&P 500 Index,3545.53,-0.001399803
2020-11-11,SP500,S&P 500 Index,3572.66,0.007651888000000001
2020-11-12,SP500,S&P 500 Index,3537.01,-0.009978560000000001
2020-11-13,SP500,S&P 500 Index,3585.15,0.01361037
2020-11-16,SP500,S&P 500 Index,3626.91,0.01164805
2020-11-17,SP500,S&P 500 Index,3609.53,-0.004791958000000001
2020-11-18,SP500,S&P 500 Index,3567.79,-0.01156383
2020-11-19,SP500,S&P 500 Index,3581.87,0.003946421
2020-11-20,SP500,S&P 500 Index,3557.54,-0.006792541
2020-11-23,SP500,S&P 500 Index,3577.59,0.005635917000000001
2020-11-24,SP500,S&P 500 Index,3635.41,0.01616172
2020-11-25,SP500,S&P 500 Index,3629.65,-0.001584416
2020-11-27,SP500,S&P 500 Index,3638.35,0.002396925
2020-11-30,SP500,S&P 500 Index,3621.63,-0.004595490000000001
2020-12-01,SP500,S&P 500 Index,3662.45,0.01127117
2020-12-02,SP500,S&P 500 Index,3669.01,0.001791151
2020-12-03,SP500,S&P 500 Index,3666.72,-0.0006241465000000001
2020-12-04,SP500,S&P 500 Index,3699.12,0.008836235000000001
2020-12-07,SP500,S&P 500 Index,3691.96,-0.001935596
2020-12-08,SP500,S&P 500 Index,3702.25,0.002787137
2020-12-09,SP500,S&P 500 Index,3672.82,-0.00794922
2020-12-10,SP500,S&P 500 Index,3668.1,-0.001285116
2020-12-11,SP500,S&P 500 Index,3663.46,-0.00126496
2020-12-14,SP500,S&P 500 Index,3647.49,-0.004359267
2020-12-15,SP500,S&P 500 Index,3694.62,0.01292121
2020-12-16,SP500,S&P 500 Index,3701.17,0.001772848
2020-12-17,SP500,S&P 500 Index,3722.48,0.005757639
2020-12-18,SP500,S&P 500 Index,3709.41,-0.0035111
2020-12-21,SP500,S&P 500 Index,3694.92,-0.003906282000000001
2020-12-22,SP500,S&P 500 Index,3687.26,-0.002073117
2020-12-23,SP500,S&P 500 Index,3690.01,0.0007458113000000001
2020-12-24,SP500,S&P 500 Index,3703.06,0.003536576
