caldt,spindx,sprtrn
2015-10-29,2089.41,-0.0004496855
2015-10-30,2079.36,-0.0048099710000000006
2015-11-02,2104.05,0.01187385
2015-11-03,2109.79,0.0027280720000000002
2015-11-04,2102.31,-0.003545376
2015-11-05,2099.93,-0.001132088
2015-11-06,2099.2,-0.00034763059999999996
2015-11-09,2078.58,-0.00982279
2015-11-10,2081.72,0.0015106470000000002
2015-11-11,2075.0,-0.0032281
2015-11-12,2045.97,-0.01399036
2015-11-13,2023.04,-0.0112074
2015-11-16,2053.19,0.01490331
2015-11-17,2050.44,-0.001339379
2015-11-18,2083.58,0.01616238
2015-11-19,2081.24,-0.001123067
2015-11-20,2089.17,0.003810229
2015-11-23,2086.59,-0.00123494
2015-11-24,2089.14,0.00122209
2015-11-25,2088.87,-0.0001292398
2015-11-27,2090.11,0.0005936224000000001
2015-11-30,2080.41,-0.004640904
2015-12-01,2102.63,0.01068059
2015-12-02,2079.51,-0.01099575
2015-12-03,2049.62,-0.01437358
2015-12-04,2091.69,0.02052576
2015-12-07,2077.07,-0.006989563000000001
2015-12-08,2063.59,-0.006489911
2015-12-09,2047.62,-0.0077389400000000014
2015-12-10,2052.23,0.002251394
2015-12-11,2012.37,-0.01942278
2015-12-14,2021.94,0.004755587
2015-12-15,2043.41,0.01061852
2015-12-16,2073.07,0.01451495
2015-12-17,2041.89,-0.0150405
2015-12-18,2005.55,-0.01779724
2015-12-21,2021.15,0.007778415
2015-12-22,2038.97,0.008816763
2015-12-23,2064.29,0.01241803
2015-12-24,2060.99,-0.0015986129999999998
2015-12-28,2056.5,-0.002178565
2015-12-29,2078.36,0.01062971
2015-12-30,2063.36,-0.007217229
2015-12-31,2043.94,-0.009411833
2016-01-04,2012.66,-0.01530378
2016-01-05,2016.71,0.002012262
2016-01-06,1990.26,-0.01311542
2016-01-07,1943.09,-0.02370042
2016-01-08,1922.03,-0.01083841
2016-01-11,1923.67,0.0008532645
2016-01-12,1938.68,0.007802794000000002
2016-01-13,1890.28,-0.02496544
2016-01-14,1921.84,0.01669594
2016-01-15,1880.33,-0.02159909
2016-01-19,1881.33,0.0005318216
2016-01-20,1859.33,-0.01169385
2016-01-21,1868.99,0.00519542
2016-01-22,1906.9,0.02028368
2016-01-25,1877.08,-0.01563795
2016-01-26,1903.63,0.01414431
2016-01-27,1882.95,-0.01086346
2016-01-28,1893.36,0.005528559000000001
2016-01-29,1940.24,0.02476021
2016-02-01,1939.38,-0.00044324410000000006
2016-02-02,1903.03,-0.0187431
2016-02-03,1912.53,0.004992039
2016-02-04,1915.45,0.001526773
2016-02-05,1880.05,-0.0184813
2016-02-08,1853.44,-0.01415388
2016-02-09,1852.21,-0.0006636309
2016-02-10,1851.86,-0.00018896349999999998
2016-02-11,1829.08,-0.01230115
2016-02-12,1864.78,0.01951801
2016-02-16,1895.58,0.01651669
2016-02-17,1926.82,0.01648044
2016-02-18,1917.83,-0.004665718
2016-02-19,1917.78,-2.6071129999999997e-05
2016-02-22,1945.5,0.01445421
2016-02-23,1921.27,-0.01245438
2016-02-24,1929.8,0.004439772000000001
2016-02-25,1951.7,0.01134833
2016-02-26,1948.05,-0.001870164
2016-02-29,1932.23,-0.008120941000000001
2016-03-01,1978.35,0.02386879
2016-03-02,1986.45,0.004094321000000001
2016-03-03,1993.4,0.003498704
2016-03-04,1999.99,0.003305909
2016-03-07,2001.76,0.0008850044
2016-03-08,1979.26,-0.01124011
2016-03-09,1989.26,0.0050523930000000005
2016-03-10,1989.57,0.0001558368
2016-03-11,2022.19,0.0163955
2016-03-14,2019.64,-0.001261009
2016-03-15,2015.93,-0.001836961
2016-03-16,2027.22,0.005600393
2016-03-17,2040.59,0.006595239
2016-03-18,2049.58,0.004405588
2016-03-21,2051.6,0.0009855678
2016-03-22,2049.8,-0.0008773639999999999
2016-03-23,2036.71,-0.006385989000000001
2016-03-24,2035.94,-0.0003780607
